timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/21 01:56:32.545, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:33.545, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:34.546, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:35.546, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:36.546, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:37.546, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:38.546, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:39.546, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:40.547, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:41.547, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:42.547, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:43.547, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:44.547, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:45.547, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:46.548, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:47.548, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:48.548, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:49.548, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:50.548, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:51.548, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:52.549, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:53.549, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:54.549, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:55.549, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:56.549, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:57.549, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:58.550, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:56:59.550, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:00.550, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:01.550, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:02.550, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:03.550, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:04.551, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:05.551, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:06.551, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:07.551, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:08.551, 0, 0 %, 0 %, 1 MiB, 46068 MiB
